currency,time,bid,ask
EUR/GBP,20190101 22:05:28.172,0.89729,0.90226
EUR/GBP,20190101 22:05:28.235,0.89729,0.90224
EUR/GBP,20190101 22:05:28.239,0.89729,0.90226
EUR/GBP,20190101 22:05:28.240,0.89729,0.90224
EUR/GBP,20190101 22:05:50.092,0.89729,0.90225
EUR/GBP,20190101 22:05:52.296,0.89697,0.90225
EUR/GBP,20190101 22:06:07.144,0.89697,0.90221
EUR/GBP,20190101 22:06:07.146,0.89697,0.90219
EUR/GBP,20190101 22:06:07.311,0.89698,0.90218
EUR/GBP,20190101 22:06:07.365,0.89738,0.90184
EUR/GBP,20190101 22:06:07.368,0.89738,0.90185
EUR/GBP,20190101 22:06:07.371,0.89711,0.90174
EUR/GBP,20190101 22:06:07.373,0.89739,0.9017
EUR/GBP,20190101 22:06:07.427,0.89712,0.9017
EUR/GBP,20190101 22:06:07.483,0.89739,0.9017
EUR/GBP,20190101 22:06:07.652,0.89712,0.9017
EUR/GBP,20190101 22:06:07.876,0.89739,0.9017
EUR/GBP,20190101 22:06:07.996,0.89712,0.9017
EUR/GBP,20190101 22:06:08.055,0.89739,0.9017
EUR/GBP,20190101 22:06:08.108,0.89712,0.9017
EUR/GBP,20190101 22:06:08.109,0.89739,0.9017
EUR/GBP,20190101 22:06:08.113,0.89712,0.9017
EUR/GBP,20190101 22:06:08.164,0.89739,0.9017
EUR/GBP,20190101 22:06:08.222,0.89712,0.9017
EUR/GBP,20190101 22:06:08.224,0.89739,0.9017
EUR/GBP,20190101 22:06:08.284,0.89712,0.9017
EUR/GBP,20190101 22:06:08.286,0.89739,0.9017
EUR/GBP,20190101 22:06:08.396,0.89712,0.9017
EUR/GBP,20190101 22:06:08.398,0.89739,0.9017
EUR/GBP,20190101 22:06:08.399,0.89712,0.9017
EUR/GBP,20190101 22:06:08.455,0.89739,0.9017
EUR/GBP,20190101 22:06:08.512,0.89712,0.9017
EUR/GBP,20190101 22:06:08.513,0.89739,0.9017
EUR/GBP,20190101 22:06:08.854,0.89712,0.9017
EUR/GBP,20190101 22:06:08.908,0.89739,0.9017
EUR/GBP,20190101 22:06:08.971,0.89712,0.9017
EUR/GBP,20190101 22:06:09.027,0.89739,0.9017
EUR/GBP,20190101 22:06:09.251,0.89712,0.9017
EUR/GBP,20190101 22:06:09.311,0.89739,0.9017
EUR/GBP,20190101 22:06:09.313,0.89712,0.9017
EUR/GBP,20190101 22:06:09.314,0.8971,0.90172
EUR/GBP,20190101 22:06:09.366,0.89737,0.90172
EUR/GBP,20190101 22:06:09.429,0.8971,0.90172
EUR/GBP,20190101 22:06:09.431,0.89737,0.90172
EUR/GBP,20190101 22:06:09.488,0.8971,0.90172
EUR/GBP,20190101 22:06:09.490,0.89737,0.90172
EUR/GBP,20190101 22:06:09.542,0.8971,0.90172
EUR/GBP,20190101 22:06:09.544,0.89737,0.90172
EUR/GBP,20190101 22:06:09.548,0.8971,0.90172
EUR/GBP,20190101 22:06:09.601,0.89737,0.90172
EUR/GBP,20190101 22:06:09.772,0.8971,0.90172
EUR/GBP,20190101 22:06:09.774,0.89737,0.90172
EUR/GBP,20190101 22:06:09.778,0.8971,0.90172
EUR/GBP,20190101 22:06:09.779,0.89737,0.90172
EUR/GBP,20190101 22:06:09.838,0.8971,0.90172
EUR/GBP,20190101 22:06:09.839,0.89737,0.90172
EUR/GBP,20190101 22:06:09.893,0.89709,0.90172
EUR/GBP,20190101 22:06:09.961,0.89713,0.90172
EUR/GBP,20190101 22:06:09.966,0.89741,0.90173
EUR/GBP,20190101 22:06:09.972,0.89716,0.90172
EUR/GBP,20190101 22:06:10.029,0.89745,0.90173
EUR/GBP,20190101 22:06:10.106,0.89722,0.90175
EUR/GBP,20190101 22:06:10.112,0.89751,0.90176
EUR/GBP,20190101 22:06:10.589,0.89751,0.90174
EUR/GBP,20190101 22:06:11.448,0.8975,0.90174
EUR/GBP,20190101 22:06:11.945,0.89712,0.90175
EUR/GBP,20190101 22:06:12.772,0.89739,0.90176
EUR/GBP,20190101 22:06:12.775,0.89712,0.90172
EUR/GBP,20190101 22:06:12.828,0.89739,0.90176
EUR/GBP,20190101 22:06:13.396,0.89739,0.90173
EUR/GBP,20190101 22:06:13.643,0.89711,0.90172
EUR/GBP,20190101 22:06:13.896,0.89739,0.90176
EUR/GBP,20190101 22:06:13.898,0.89739,0.90173
EUR/GBP,20190101 22:06:13.952,0.89739,0.90176
EUR/GBP,20190101 22:06:13.957,0.89739,0.90173
EUR/GBP,20190101 22:06:13.959,0.89739,0.90176
EUR/GBP,20190101 22:06:13.960,0.89739,0.90173
EUR/GBP,20190101 22:06:13.963,0.89739,0.90176
EUR/GBP,20190101 22:06:14.017,0.89739,0.90173
EUR/GBP,20190101 22:06:14.025,0.89739,0.90176
EUR/GBP,20190101 22:06:14.031,0.89739,0.90173
EUR/GBP,20190101 22:06:14.034,0.89739,0.90176
EUR/GBP,20190101 22:06:14.088,0.89739,0.90173
EUR/GBP,20190101 22:06:14.090,0.89739,0.90176
