Time,Bid,Ask
1481545036761351792,0.0,0.0
1481553000000329777,118.82,121.83
1481553000210193093,117.04,121.83
1481553001335234543,117.04,119.55
1481553001335241094,118.82,119.55
1481553006049034936,118.47,119.55
1481553008026774879,119.02,119.55
1481553008027795142,118.47,119.55
1481553012275838563,119.01,119.55
1481553012281374398,118.47,119.55
1481553012283981796,119.02,119.55
1481553018375467518,118.47,119.55
1481553020192858561,119.01,119.55
1481553020210247036,118.47,119.55
1481553027329423347,118.88,119.55
1481553028457469953,118.47,119.55
1481553028469078256,118.85,119.55
1481553028469557523,118.85,119.2
1481553028470245933,118.47,119.2
1481553031182970856,118.85,119.2
1481553032616428154,118.47,119.2
1481553033789920224,118.84,119.2
1481553033795879670,118.47,119.2
1481553042800671682,118.8,119.2
1481553042801826835,118.47,119.2
1481553043452540749,118.8,119.2
1481553043453895051,118.47,119.2
1481553050145720216,118.79,119.2
1481553051219082490,118.81,119.2
1481553051710879845,118.79,119.2
1481553059855181507,118.79,118.84
1481553059862492741,118.81,118.84
1481553059876004650,118.81,119.2
1481553060735505481,118.83,119.2
1481553060737744686,118.81,119.2
1481553061176946785,118.79,119.2
1481553069198464059,118.47,119.2
1481553072687200487,118.12,119.2
1481553073138899384,118.12,118.78
1481553073717894781,118.12,119.2
1481553085002104933,118.12,118.74
1481553086075099775,118.12,119.2
1481553087038860166,118.12,118.7
1481553087057918730,118.12,118.69
1481553091004303569,118.12,119.2
1481553099132341674,118.67,119.2
1481553099262177778,118.12,119.2
1481553099988600223,118.12,118.69
1481553100239766548,118.12,118.68
1481553102686348984,118.12,119.2
1481553105567097127,118.47,119.2
1481553114716789468,118.47,119.55
1481553121723014006,118.47,119.2
1481553124922847138,118.47,118.91
1481553124929308242,118.47,119.2
1481553124932709135,118.47,119.55
1481553127230159317,118.47,118.91
1481553127231089200,118.47,119.55
1481553127452317610,118.47,118.93
1481553128677009581,118.47,119.55
1481553161676971619,118.12,119.2
1481553166311252485,118.47,119.2
1481553167705510798,118.47,118.86
1481553168869493527,118.47,119.2
1481553168877393480,118.47,118.85
1481553169481243526,118.47,118.85
1481553169483597396,118.47,118.85
1481553169484830690,118.47,118.85
1481553169485908690,118.47,118.85
1481553170170110448,118.47,119.2
1481553187105502585,118.12,119.2
1481553189196834901,118.12,118.81
1481553190189956549,118.12,119.2
1481553207674613187,118.47,119.2
1481553233619768682,118.47,119.55
1481553249221063542,118.47,119.2
1481553269767299957,118.47,119.55
1481553305979696349,118.47,119.2
1481553318446504595,118.12,119.2
1481553335656432179,118.12,118.76
1481553335664151113,118.12,119.2
1481553339374146409,118.12,118.74
1481553341644374163,118.12,119.2
1481553360194104840,118.12,118.76
1481553362476823811,118.12,118.71
1481553368529894048,118.12,119.2
1481553419623346352,118.12,118.85
1481553437219572292,118.12,119.2
