Time,Bid,Ask
20191001 00:00:00.257,1.22894,1.229
20191001 00:00:00.261,1.22894,1.22901
20191001 00:00:00.263,1.22894,1.2290299999999998
20191001 00:00:00.266,1.22894,1.22904
20191001 00:00:00.320,1.22896,1.22904
20191001 00:00:00.327,1.22896,1.22905
20191001 00:00:00.330,1.22896,1.22906
20191001 00:00:00.391,1.2289700000000001,1.22906
20191001 00:00:00.398,1.22896,1.2290299999999998
20191001 00:00:00.405,1.22896,1.22902
20191001 00:00:00.460,1.22895,1.22902
20191001 00:00:00.466,1.22895,1.2290299999999998
20191001 00:00:00.583,1.22895,1.22904
20191001 00:00:00.588,1.22895,1.2290299999999998
20191001 00:00:00.660,1.22895,1.22902
20191001 00:00:00.662,1.2289299999999999,1.22902
20191001 00:00:01.096,1.2289299999999999,1.229
20191001 00:00:01.152,1.22892,1.229
20191001 00:00:02.385,1.2289299999999999,1.229
20191001 00:00:02.965,1.22892,1.229
20191001 00:00:03.032,1.22891,1.229
20191001 00:00:04.310,1.22892,1.229
20191001 00:00:06.754,1.22891,1.229
20191001 00:00:07.375,1.22892,1.229
20191001 00:00:23.819,1.22891,1.22899
20191001 00:00:23.821,1.2289,1.22898
20191001 00:00:23.823,1.2289,1.2289700000000001
20191001 00:00:24.338,1.22888,1.22896
20191001 00:00:24.341,1.22889,1.22896
20191001 00:00:24.744,1.22889,1.22898
20191001 00:00:25.424,1.22889,1.22899
20191001 00:00:26.366,1.2289,1.22899
20191001 00:00:30.759,1.22889,1.22899
20191001 00:00:30.872,1.2289,1.22899
20191001 00:00:31.459,1.22889,1.22899
20191001 00:00:35.002,1.22889,1.229
20191001 00:00:35.278,1.22889,1.2289700000000001
20191001 00:00:35.761,1.22889,1.229
20191001 00:00:36.079,1.22889,1.22899
20191001 00:00:36.570,1.22889,1.229
20191001 00:00:36.705,1.22889,1.22898
20191001 00:00:36.722,1.22889,1.22896
20191001 00:00:39.244,1.22889,1.22898
20191001 00:00:44.444,1.22889,1.22899
20191001 00:00:45.025,1.22889,1.22898
20191001 00:00:45.934,1.22889,1.22895
20191001 00:00:53.314,1.22889,1.22898
20191001 00:00:55.179,1.22889,1.22894
20191001 00:01:07.872,1.22889,1.2289700000000001
20191001 00:01:08.628,1.22889,1.22898
