Time,Bid,Ask
1481545036762330838,0.0,0.0
1481553000000329777,110.59,110.61
1481553000045910009,110.58,110.61
1481553000060605390,110.58,110.6
1481553000136300730,110.57,110.6
1481553000155999559,110.57,110.61
1481553000223839455,110.58,110.61
1481553001736435938,110.58,110.61
1481553001773938962,110.58,110.6
1481553002019930800,110.58,110.61
1481553002030673785,110.58,110.61
1481553002030820663,110.59,110.61
1481553002030938109,110.59,110.61
1481553002103691430,110.59,110.61
1481553002582773513,110.59,110.62
1481553002583836544,110.59,110.62
1481553002583957976,110.59,110.63
1481553002584517905,110.6,110.63
1481553002584938040,110.6,110.62
1481553002603896789,110.6,110.62
1481553002632134382,110.6,110.62
1481553002684890015,110.6,110.62
1481553002694474415,110.6,110.63
1481553002836343835,110.6,110.62
1481553002836506054,110.6,110.62
1481553002836541529,110.6,110.62
1481553002836576700,110.6,110.62
1481553002843876688,110.6,110.62
1481553002899736277,110.6,110.62
1481553002951368197,110.6,110.63
1481553002998239360,110.6,110.62
1481553003613087252,110.6,110.62
1481553004007201851,110.6,110.62
1481553004121925234,110.6,110.62
1481553004401322561,110.6,110.62
1481553004403076383,110.6,110.62
1481553004403208757,110.6,110.62
1481553004403319727,110.6,110.61
1481553004404166443,110.59,110.61
1481553004404220111,110.59,110.62
1481553004404297606,110.59,110.62
1481553004404339405,110.59,110.62
1481553004404875086,110.59,110.62
1481553004405229055,110.59,110.62
1481553004405261171,110.59,110.61
1481553004405382101,110.59,110.61
1481553004407275890,110.59,110.62
1481553004415119599,110.6,110.62
1481553004433349770,110.6,110.62
1481553004433599213,110.6,110.62
1481553004433726634,110.6,110.62
1481553004437435542,110.59,110.62
1481553004467595014,110.59,110.62
1481553004467636549,110.59,110.62
1481553004496697181,110.59,110.62
1481553004496996165,110.6,110.62
1481553004497247739,110.6,110.62
1481553004497263889,110.6,110.62
1481553004497306283,110.6,110.63
1481553004497599622,110.6,110.63
1481553004500802407,110.61,110.63
1481553004513442180,110.6,110.63
1481553004513519115,110.6,110.62
1481553004513884783,110.6,110.62
1481553004523986061,110.6,110.62
1481553004528697484,110.6,110.62
1481553004558284209,110.59,110.62
1481553004669954784,110.59,110.62
1481553004670384402,110.59,110.62
1481553004670403191,110.59,110.61
1481553004695086074,110.59,110.62
1481553004725217078,110.59,110.62
1481553004725594923,110.59,110.62
1481553004726069539,110.59,110.62
1481553004726161460,110.6,110.62
1481553004726285324,110.6,110.62
1481553004726347328,110.6,110.62
1481553004726435258,110.6,110.62
1481553004726498588,110.6,110.62
1481553004726522047,110.6,110.62
1481553004729108072,110.6,110.62
1481553004729147120,110.6,110.62
1481553004729794059,110.6,110.62
1481553005133890899,110.6,110.62
1481553005133931632,110.61,110.62
1481553005134518092,110.61,110.62
1481553005134588449,110.61,110.62
1481553005134798744,110.6,110.62
1481553005135533345,110.6,110.62
1481553005135816595,110.59,110.62
1481553005136001401,110.59,110.62
1481553005136146133,110.59,110.62
1481553005136456509,110.59,110.61
1481553005154902638,110.59,110.62
1481553005155817944,110.59,110.62
1481553005454502738,110.59,110.62
1481553005466192576,110.59,110.61
1481553006364471629,110.59,110.61
1481553006364511918,110.59,110.61
1481553006364795778,110.59,110.61
1481553006364866363,110.59,110.61
1481553006365436118,110.59,110.61
1481553006365706020,110.59,110.61
1481553006372021489,110.58,110.61
1481553006372062136,110.58,110.61
1481553006381002673,110.59,110.61
1481553006381822338,110.58,110.61
1481553006382144356,110.58,110.61
1481553006383237001,110.58,110.61
1481553006393798432,110.58,110.6
1481553006434078373,110.58,110.61
1481553006465561645,110.58,110.61
1481553006675446461,110.58,110.61
1481553006676448498,110.59,110.61
1481553006886866010,110.58,110.61
1481553006892549014,110.58,110.6
1481553006944156859,110.58,110.61
1481553008868279534,110.59,110.61
1481553008883514490,110.58,110.61
1481553008884971926,110.58,110.6
1481553008893701282,110.58,110.61
1481553008907445757,110.58,110.6
1481553008937029467,110.58,110.61
1481553008980134707,110.58,110.6
1481553008983282182,110.58,110.61
1481553008999672207,110.58,110.6
1481553009008203823,110.58,110.61
1481553009069478691,110.58,110.6
1481553009102219056,110.58,110.61
1481553009212743922,110.59,110.61
1481553009226001070,110.58,110.61
1481553009226786495,110.58,110.6
1481553009231889673,110.58,110.61
1481553009242883688,110.58,110.6
1481553009245813615,110.58,110.61
1481553009256394742,110.58,110.6
1481553009262368839,110.58,110.61
1481553009274880125,110.58,110.6
1481553009278749441,110.58,110.61
1481553009288974768,110.58,110.6
1481553009313851090,110.58,110.61
1481553009526473614,110.59,110.61
1481553009533795776,110.58,110.61
1481553009587357214,110.58,110.6
1481553009588227487,110.58,110.61
1481553009649140026,110.58,110.6
1481553009700009923,110.58,110.61
1481553009750904671,110.58,110.6
1481553009751757913,110.58,110.61
1481553009886712908,110.58,110.61
1481553009886713754,110.58,110.61
1481553010016753915,110.58,110.61
1481553010016835883,110.58,110.61
1481553010016969294,110.58,110.61
1481553010028874831,110.59,110.61
1481553010029198938,110.59,110.61
1481553010029316671,110.59,110.61
1481553010029372964,110.59,110.61
1481553010062817185,110.59,110.61
1481553010076559475,110.59,110.61
1481553010076829754,110.59,110.61
1481553010076884971,110.59,110.61
1481553010077044476,110.59,110.61
1481553010077136470,110.59,110.61
1481553010077278426,110.58,110.61
1481553010078725835,110.58,110.6
1481553010100255472,110.58,110.61
1481553010128872809,110.58,110.61
1481553010350900440,110.58,110.6
1481553010376306893,110.58,110.61
1481553010430539403,110.58,110.6
1481553010459843801,110.58,110.61
1481553010539098216,110.58,110.61
1481553010539139026,110.58,110.61
1481553010539300264,110.59,110.61
1481553010540040150,110.59,110.61
1481553010540126748,110.59,110.61
1481553010547437429,110.58,110.61
1481553010663237692,110.58,110.6
1481553010686532051,110.58,110.61
1481553011294752204,110.58,110.61
1481553011529865838,110.58,110.6
1481553011543123751,110.58,110.61
1481553011597110449,110.58,110.6
1481553011622663476,110.58,110.61
1481553011639986126,110.58,110.61
1481553011640217666,110.58,110.61
1481553011640532137,110.58,110.61
1481553011640660396,110.59,110.61
1481553011640781194,110.59,110.61
1481553011640816291,110.59,110.61
1481553011640999072,110.59,110.61
1481553011641054865,110.59,110.61
1481553011642364538,110.59,110.61
1481553011643357031,110.59,110.61
1481553011694514721,110.59,110.61
1481553011725634160,110.59,110.61
1481553011833303199,110.59,110.61
1481553012108111813,110.59,110.62
1481553012108196935,110.59,110.62
1481553012108404328,110.59,110.62
1481553012108466601,110.59,110.62
1481553012108513316,110.6,110.62
1481553012108780800,110.6,110.62
1481553012110799506,110.6,110.62
1481553012110837850,110.6,110.62
1481553012111096687,110.6,110.62
1481553012111207685,110.6,110.62
1481553012116949876,110.6,110.62
1481553012129839349,110.59,110.62
1481553012129870273,110.59,110.62
1481553012130189643,110.59,110.61
1481553012130288173,110.59,110.61
1481553012131603781,110.59,110.61
1481553012186656165,110.59,110.61
1481553012191221475,110.59,110.61
1481553012240770108,110.59,110.61
1481553012241666712,110.59,110.61
1481553012464207114,110.59,110.61
1481553012465072477,110.59,110.61
1481553012465974955,110.59,110.61
1481553012518040615,110.59,110.61
1481553012568227541,110.59,110.61
1481553013871776643,110.59,110.61
1481553013872279309,110.59,110.62
1481553013872301800,110.59,110.62
1481553013872433454,110.59,110.62
1481553013872597963,110.6,110.62
1481553013872650459,110.6,110.62
1481553013872707043,110.6,110.62
1481553013873187353,110.6,110.62
1481553013876285855,110.61,110.62
1481553013934776328,110.6,110.62
1481553013935907691,110.6,110.62
1481553014226206295,110.6,110.62
1481553014271914712,110.6,110.62
1481553014388453552,110.6,110.62
1481553014388527681,110.59,110.62
1481553014388562828,110.59,110.62
1481553014407002938,110.6,110.62
1481553014488567125,110.6,110.62
1481553014905458388,110.6,110.62
1481553014906211417,110.6,110.62
1481553014906307846,110.6,110.62
1481553015301200451,110.6,110.62
1481553015302071676,110.6,110.62
1481553015355279363,110.6,110.62
1481553015522001654,110.6,110.62
1481553015522058850,110.6,110.62
1481553015550719615,110.6,110.62
1481553015563063986,110.6,110.62
1481553015765802449,110.6,110.62
1481553015765819383,110.6,110.62
1481553015766707688,110.59,110.62
1481553015846998121,110.6,110.62
1481553015847108142,110.6,110.62
1481553015847248930,110.6,110.62
1481553015847457523,110.6,110.63
1481553015848182826,110.6,110.63
1481553015849114493,110.6,110.63
1481553015850576798,110.6,110.62
1481553015866415593,110.6,110.62
1481553015876045360,110.6,110.62
1481553015900756129,110.6,110.62
