Time,Bid,Ask
2005-02-25,10.92,11.78
2005-02-28,11.73,12.5
2005-03-01,11.66,12.1
2005-03-02,12.2,12.91
2005-03-03,12.23,13.07
2005-03-04,11.94,12.5
2005-03-07,12.05,12.6
2005-03-08,11.95,12.5
2005-03-09,12.2,12.72
2005-03-10,12.42,12.97
2005-03-11,12.11,12.98
2005-03-14,12.36,12.99
2005-03-15,12.33,13.22
2005-03-16,13.19,13.81
2005-03-17,13.2,13.67
2005-03-18,13.08,13.67
2005-03-21,13.33,13.98
2005-03-22,13.15,14.28
2005-03-23,13.88,14.89
2005-03-24,12.97,13.88
2005-03-28,13.44,14.01
2005-03-29,13.38,14.68
2005-03-30,13.64,14.47
2005-03-31,13.57,14.1
2005-04-01,12.92,14.38
2005-04-04,13.96,14.76
2005-04-05,13.66,14.11
2005-04-06,12.89,13.76
2005-04-07,12.3,12.96
2005-04-08,11.52,12.65
2005-04-11,11.82,12.46
2005-04-12,11.2,12.83
2005-04-13,11.27,13.44
2005-04-14,12.67,14.6
2005-04-15,14.71,18.05
2005-04-18,16.41,18.59
2005-04-19,14.81,15.97
2005-04-20,14.52,17.25
2005-04-21,14.26,16.22
2005-04-22,14.2,16.32
2005-04-25,14.6,15.47
2005-04-26,14.27,15.15
2005-04-27,14.43,15.93
2005-04-28,14.19,16.87
2005-04-29,15.26,16.92
2005-05-02,15.08,16.01
2005-05-03,14.53,15.31
2005-05-04,13.7,15.38
2005-05-05,13.43,15.82
2005-05-06,13.11,14.06
2005-05-09,13.53,14.56
2005-05-10,14.03,15.11
2005-05-11,14.31,15.8
2005-05-12,14.16,16.23
2005-05-13,15.4,17.7
2005-05-16,15.67,16.87
2005-05-17,14.45,16.21
2005-05-18,13.3,14.13
2005-05-19,13.25,14.02
2005-05-20,13.07,13.73
2005-05-23,12.75,13.45
2005-05-24,12.53,13.3
2005-05-25,12.58,13.11
2005-05-26,11.65,12.38
2005-05-27,12.06,12.43
2005-05-31,12.67,13.45
2005-06-01,12.17,13.34
2005-06-02,11.8,12.43
2005-06-03,11.52,12.49
2005-06-06,12.21,13.0
2005-06-07,11.47,12.43
2005-06-08,12.05,12.83
2005-06-09,12.06,13.07
2005-06-10,11.9,12.4
2005-06-13,11.31,12.12
2005-06-14,11.52,12.02
2005-06-15,11.05,11.96
2005-06-16,11.04,11.36
2005-06-17,10.78,11.64
2005-06-20,11.31,12.53
2005-06-21,11.01,11.67
2005-06-22,10.81,11.31
2005-06-23,10.96,12.13
2005-06-24,11.95,12.32
2005-06-27,12.38,12.78
2005-06-28,11.55,12.31
2005-06-29,11.44,11.78
2005-06-30,11.5,12.1
2005-07-01,11.38,11.92
2005-07-05,11.53,12.41
2005-07-06,11.54,12.33
2005-07-07,12.48,13.92
2005-07-08,11.09,12.29
2005-07-11,10.53,11.41
2005-07-12,10.85,11.37
2005-07-13,10.8,11.44
2005-07-14,10.5,11.13
2005-07-15,10.13,10.9
2005-07-18,10.77,11.09
2005-07-19,10.36,10.79
2005-07-20,9.88,10.94
2005-07-21,10.23,11.21
2005-07-22,10.51,11.05
2005-07-25,10.7,11.28
2005-07-26,10.92,11.25
2005-07-27,10.34,11.03
2005-07-28,10.27,10.58
2005-07-29,10.24,11.73
2005-08-01,11.36,12.23
2005-08-02,11.69,12.03
2005-08-03,11.62,12.01
2005-08-04,11.99,12.57
2005-08-05,11.82,12.92
2005-08-08,12.56,13.29
2005-08-09,12.24,12.78
2005-08-10,11.51,12.56
2005-08-11,11.88,12.94
2005-08-12,12.18,12.98
2005-08-15,12.08,12.99
2005-08-16,12.28,13.89
2005-08-17,12.78,13.76
2005-08-18,13.01,13.88
2005-08-19,12.61,13.85
2005-08-22,13.2,13.89
2005-08-23,13.3,14.05
2005-08-24,13.0,14.18
2005-08-25,13.66,14.12
2005-08-26,13.65,14.2
2005-08-29,13.38,14.41
2005-08-30,13.47,14.18
2005-08-31,12.56,13.63
2005-09-01,12.31,13.37
2005-09-02,13.03,13.72
2005-09-06,12.9,14.18
2005-09-07,12.44,13.2
2005-09-08,12.37,12.94
2005-09-09,11.96,12.65
2005-09-12,11.45,11.89
2005-09-13,11.75,12.48
2005-09-14,12.67,13.26
2005-09-15,12.28,13.17
2005-09-16,11.07,11.93
2005-09-19,12.04,12.46
2005-09-20,11.83,12.96
2005-09-21,12.96,13.91
2005-09-22,13.31,14.39
2005-09-23,12.75,13.88
2005-09-26,12.64,13.47
2005-09-27,12.51,13.46
2005-09-28,12.37,12.98
2005-09-29,12.15,13.23
2005-09-30,11.92,12.44
2005-10-03,11.98,12.62
2005-10-04,12.11,13.21
2005-10-05,12.97,14.58
2005-10-06,14.04,15.63
2005-10-07,14.3,14.82
2005-10-10,14.87,15.61
2005-10-11,15.06,15.7
2005-10-12,15.04,16.27
2005-10-13,15.98,17.19
2005-10-14,14.83,16.03
2005-10-17,14.58,15.3
2005-10-18,14.79,15.4
2005-10-19,13.47,15.86
2005-10-20,13.98,16.19
2005-10-21,15.26,16.27
2005-10-24,14.61,16.44
2005-10-25,14.2,15.3
2005-10-26,13.72,14.88
2005-10-27,14.57,16.3
2005-10-28,14.11,15.61
2005-10-31,13.93,15.39
2005-11-01,14.65,15.66
2005-11-02,13.38,14.99
2005-11-03,12.5,13.23
2005-11-04,12.69,13.62
2005-11-07,12.76,13.65
2005-11-08,13.04,13.61
2005-11-09,12.42,13.36
2005-11-10,11.73,13.17
2005-11-11,11.63,11.96
2005-11-14,11.77,12.34
2005-11-15,11.7,12.69
2005-11-16,12.17,12.68
2005-11-17,11.25,12.2
2005-11-18,10.96,11.67
2005-11-21,10.71,11.38
2005-11-22,10.5,11.1
2005-11-23,10.67,11.03
2005-11-25,10.88,11.24
2005-11-28,11.33,11.99
2005-11-29,11.61,11.96
2005-11-30,11.55,12.13
2005-12-01,11.14,12.23
2005-12-02,10.94,11.23
2005-12-05,11.4,11.68
2005-12-06,10.96,11.59
2005-12-07,11.45,12.44
2005-12-08,11.73,12.41
2005-12-09,11.56,12.2
2005-12-12,10.83,11.81
2005-12-13,10.57,11.42
2005-12-14,10.39,10.79
2005-12-15,10.37,11.11
2005-12-16,10.15,10.75
2005-12-19,10.65,11.38
2005-12-20,11.0,11.45
2005-12-21,10.34,11.07
2005-12-22,10.28,10.89
2005-12-23,10.24,10.48
2005-12-27,10.83,11.65
2005-12-28,11.26,11.64
2005-12-29,11.14,11.67
2005-12-30,11.55,12.07
2006-01-03,10.99,12.51
2006-01-04,10.97,11.71
2006-01-05,11.31,11.84
2006-01-06,10.81,11.5
2006-01-09,10.98,11.35
2006-01-10,10.84,11.39
2006-01-11,10.83,11.16
2006-01-12,10.94,11.38
2006-01-13,11.11,11.61
2006-01-17,11.87,12.46
2006-01-18,12.2,12.7
2006-01-19,11.65,12.34
2006-01-20,11.89,14.56
2006-01-23,13.58,14.48
2006-01-24,13.14,13.83
2006-01-25,12.62,13.38
2006-01-26,12.19,12.91
2006-01-27,11.72,12.33
2006-01-30,12.07,12.46
2006-01-31,12.45,13.06
2006-02-01,12.34,13.03
2006-02-02,12.48,13.47
2006-02-03,12.64,13.7
2006-02-06,12.99,13.43
2006-02-07,12.97,13.67
2006-02-08,12.76,13.61
2006-02-09,12.27,13.15
2006-02-10,12.69,13.73
2006-02-13,13.05,13.7
2006-02-14,12.01,13.15
2006-02-15,12.21,12.95
2006-02-16,11.13,12.29
2006-02-17,11.52,12.21
2006-02-21,12.28,12.64
2006-02-22,11.68,12.3
2006-02-23,11.58,11.97
2006-02-24,11.42,12.06
2006-02-27,11.4,11.83
2006-02-28,11.71,12.36
2006-03-01,11.52,12.07
2006-03-02,11.56,11.95
2006-03-03,11.36,12.1
2006-03-06,12.22,12.91
2006-03-07,12.64,13.34
2006-03-08,12.26,13.34
2006-03-09,12.01,12.69
2006-03-10,11.79,12.6
2006-03-13,10.89,11.75
2006-03-14,10.53,11.72
2006-03-15,10.98,11.54
2006-03-16,10.57,12.05
2006-03-17,11.53,12.2
2006-03-20,10.79,12.21
2006-03-21,11.17,11.89
2006-03-22,11.11,11.79
2006-03-23,11.11,11.57
2006-03-24,11.09,11.48
2006-03-27,11.41,11.72
2006-03-28,11.38,11.9
2006-03-29,10.79,11.57
2006-03-30,10.7,11.73
2006-03-31,11.27,11.65
2006-04-03,11.03,11.62
2006-04-04,11.09,11.8
2006-04-05,11.06,11.36
2006-04-06,11.25,11.74
2006-04-07,11.2,12.31
2006-04-10,12.04,12.49
2006-04-11,12.06,13.06
2006-04-12,12.66,13.09
2006-04-13,12.28,13.0
2006-04-17,12.27,13.02
2006-04-18,11.31,12.55
2006-04-19,11.23,11.8
2006-04-20,11.02,11.67
2006-04-21,11.19,11.98
2006-04-24,11.67,12.42
2006-04-25,11.59,12.19
2006-04-26,11.34,11.79
2006-04-27,11.55,12.52
2006-04-28,11.42,12.13
2006-05-01,11.75,12.59
2006-05-02,11.93,12.27
2006-05-03,11.95,12.45
2006-05-04,11.71,12.16
2006-05-05,11.18,11.62
2006-05-08,11.81,12.06
2006-05-09,11.88,12.15
2006-05-10,11.78,12.32
2006-05-11,11.99,12.92
2006-05-12,12.71,14.26
2006-05-15,13.44,15.13
2006-05-16,12.98,13.61
2006-05-17,13.39,16.26
2006-05-18,14.96,17.09
2006-05-19,15.9,18.01
