Time,Bid,Ask
1481547643860331179,0.0,30.9
1481547643906618499,0.0,30.9
1481548881158688834,0.0,25.85
1481548881158797968,0.0,30.9
1481549368211592139,0.0,25.86
1481549368231378853,0.0,30.9
1481549523172383035,25.84,30.9
1481549523172464033,0.0,30.9
1481550000693189764,0.0,25.87
1481550000713010231,0.0,30.9
1481550032822896887,25.85,30.9
1481550032843139699,0.0,30.9
1481550415134226749,25.86,30.9
1481550415141453706,0.0,30.9
1481550553045571563,0.0,25.88
1481550589282980942,0.0,30.9
1481550602155471953,25.86,30.9
1481550602163228625,25.88,30.9
1481550602163789009,25.86,30.9
1481550602166991138,25.89,30.9
1481550608418315111,25.86,30.9
1481550691774172665,25.9,30.9
1481550691794062762,25.86,30.9
1481550745966130340,25.86,25.92
1481550760155359173,25.86,30.9
1481550760158168584,25.86,25.95
1481550762017185479,25.86,30.9
1481550762019817376,25.86,25.92
1481550768541017586,25.86,30.9
1481550768544461146,25.86,26.04
1481550768648784583,25.86,30.9
1481550768651445857,25.86,26.01
1481550768972410917,25.86,30.9
1481550768974619454,25.86,25.95
1481550768975334147,25.86,30.9
1481550768978619778,25.86,26.04
1481550768982554104,25.91,26.04
1481550768982829028,25.91,26.04
1481550768983045928,25.92,26.04
1481550768986157018,25.91,26.04
1481550768986206746,25.91,26.04
1481550768986387516,25.86,26.04
1481550768987718846,25.9,26.04
1481550769227781919,25.86,26.04
1481550769765373398,25.86,30.9
1481550769768271377,25.86,26.01
1481550769769529025,25.9,26.01
1481550779129316923,25.86,26.01
1481550783638826334,25.86,25.95
1481550865996598519,25.86,30.9
1481550866001460377,25.86,25.92
1481550866004434314,25.86,30.9
1481550866007349299,25.86,25.95
1481550869019920471,25.86,30.9
1481550869022453882,25.86,25.92
1481550884988916662,25.86,30.9
1481550954784969907,25.88,30.9
1481550954785415495,25.86,30.9
1481550969127138851,25.86,25.92
1481550998971402043,25.86,30.9
1481551004623169393,25.86,25.9
1481551012864967237,25.86,30.9
1481551014524397348,25.89,30.9
1481551014814011310,25.86,30.9
1481551019173554209,25.9,30.9
1481551027203283979,25.9,25.93
1481551027213389772,25.86,25.93
1481551027214522751,25.86,30.9
1481551036936264490,25.9,30.9
1481551056424441214,25.9,25.93
1481551056444282063,25.9,30.9
1481551177331224068,25.86,30.9
1481551177334422793,25.86,25.92
1481551177338461619,25.86,25.91
1481551177338832523,25.86,25.92
1481551205764455059,25.86,25.92
1481551223410685528,25.88,25.92
1481551223430792831,25.86,25.92
1481551223529835923,25.86,25.92
1481551224416583260,25.86,26.01
1481551224418950596,25.89,26.01
1481551224420435802,25.89,30.9
1481551224421558256,25.91,30.9
1481551224422029957,25.89,30.9
1481551224423474887,25.89,26.04
1481551224425794415,25.89,30.9
1481551224426370483,25.92,30.9
1481551224429691571,25.92,26.1
1481551224431647056,25.93,26.1
1481551224457257838,25.92,26.1
1481551224526823801,25.92,30.9
1481551224529182336,25.92,26.01
1481551224543390926,25.89,26.01
1481551225436306844,25.9,26.01
1481551226045501853,25.89,26.01
1481551226047851243,25.86,26.01
1481551226049488519,25.86,30.9
1481551226052447973,25.86,25.99
1481551226056008303,25.86,30.9
1481551226058501793,25.86,26.04
1481551226058730772,25.9,26.04
1481551226059566208,25.86,26.04
1481551226059643791,25.86,30.9
1481551226061940151,25.87,30.9
1481551226062699788,25.87,26.01
1481551226267984900,25.86,26.01
1481551226572499409,25.86,30.9
1481551226574763814,25.86,25.99
1481551226575971629,25.86,30.9
1481551226578585432,25.86,25.92
1481551226579629024,25.86,30.9
1481551226584293722,25.86,25.92
1481551226584376835,25.86,30.9
1481551226586806635,25.86,25.99
1481551227081696294,25.87,25.99
1481551229657541713,25.86,25.99
1481551230625775953,25.87,25.99
1481551236645206116,25.87,30.9
1481551236647185509,25.86,30.9
1481551236647889562,25.86,26.04
1481551236648511119,25.86,30.9
1481551236650129077,25.87,30.9
1481551236651408026,25.87,26.01
1481551236652745706,25.86,26.01
1481551236653945434,25.86,30.9
1481551236656528021,25.86,25.95
1481551236911945045,25.86,30.9
1481551236914219681,25.86,25.92
1481551275604811873,25.86,30.9
1481551275607164038,25.86,25.99
1481551276219747174,25.86,30.9
1481551276222094987,25.86,25.92
1481551293429322338,25.86,30.9
1481551293431364760,25.86,25.95
1481551293432082472,25.86,30.9
1481551293434838252,25.86,26.01
1481551294513366651,25.9,26.01
1481551295678996208,25.86,26.01
1481551296944608502,25.9,26.01
1481551310699203230,25.91,26.01
1481551310719409217,25.9,26.01
1481551328144470018,25.9,30.9
1481551328146819066,25.9,26.04
1481551328295829273,25.86,26.04
1481551329517021627,25.86,30.9
1481551329519049127,25.86,26.01
1481551329520624729,25.9,26.01
1481551466057472988,25.86,26.01
1481551466059797025,25.87,26.01
1481551470220092828,25.86,26.01
1481551470222400316,25.9,26.01
1481551489728002606,25.9,25.94
1481551489728103419,25.9,26.01
1481551508599437171,25.92,26.01
1481551557286622127,25.92,25.95
1481551557287961599,25.9,25.95
1481551557288346102,25.86,25.95
1481551557290632543,25.87,25.95
1481551557796561776,25.86,25.95
1481551557798861310,25.9,25.95
1481551558298580293,25.9,26.01
1481551575857971803,25.86,26.01
1481551575860269012,25.87,26.01
1481551576716369151,25.86,26.01
1481551576718659612,25.9,26.01
1481551735920791279,25.93,26.01
1481551735921121163,25.9,26.01
1481551938013654475,25.9,25.96
1481551938013921303,25.9,25.95
1481551938014427499,25.9,26.01
1481552007865486032,25.9,30.9
1481552007867796344,25.9,26.04
1481552012242064601,25.9,30.9
1481552012244316476,25.9,26.01
1481552071807617900,25.9,30.9
1481552071809935795,25.9,26.04
1481552072328103808,25.9,30.9
1481552072330322329,25.9,26.01
1481552091425539476,25.9,30.9
1481552091427799901,25.9,26.04
1481552091432040376,0.0,26.04
1481552091433360350,0.0,30.9
1481552091434442535,25.9,30.9
1481552091435658049,25.9,26.1
1481552091438583465,0.0,26.1
1481552091440712790,25.9,26.1
1481552091441321223,0.0,26.1
1481552091444251370,25.9,26.1
1481552091452724468,0.0,26.1
1481552091454954663,25.92,26.1
1481552095111546426,25.92,30.9
1481552095113786756,25.92,26.04
1481552135584616614,0.0,26.04
1481552135586519656,0.0,30.9
1481552135587060124,25.9,30.9
1481552135588793229,25.9,26.04
1481552135603243842,0.0,26.04
1481552135603301242,0.0,30.9
1481552135605248968,25.87,30.9
1481552135606351591,25.87,26.01
1481552136157656533,0.0,26.01
1481552136159915995,25.9,26.01
1481552138567572626,0.0,26.01
1481552138569804626,25.83,26.01
1481552139605673241,0.0,26.01
1481552139607890178,25.9,26.01
1481552189045917768,25.9,30.9
1481552189048169018,25.9,26.04
1481552190029954414,25.9,30.9
1481552190032229469,25.9,26.01
1481552195716444160,25.9,30.9
1481552195718654222,25.9,26.04
1481552195722923069,25.9,30.9
1481552195725102193,25.9,26.1
1481552196163790017,25.9,30.9
1481552196165956771,25.9,26.01
1481552196168224013,25.9,30.9
1481552196168630346,0.0,30.9
1481552196170412155,0.0,26.04
1481552196171245537,25.9,26.04
1481552196171996445,0.0,26.04
1481552196174842462,25.92,26.04
1481552196274256361,0.0,26.04
1481552196275454527,0.0,30.9
1481552196276411314,25.9,30.9
1481552196277548149,25.9,26.1
1481552196675356442,0.0,26.1
1481552196677491371,25.92,26.1
1481552196953851557,25.92,30.9
1481552196955988985,25.92,26.04
1481552208178723889,0.0,26.04
1481552208180866959,25.87,26.04
1481552208535439788,0.0,26.04
1481552208537565591,25.92,26.04
1481552237600283265,0.0,26.04
1481552237602461593,25.9,26.04
1481552237604253654,25.9,30.9
1481552237605915831,25.9,26.04
1481552239062689137,25.9,30.9
1481552239064811204,25.9,26.01
1481552559519825730,25.9,30.9
1481552559521611647,25.9,26.04
1481552559521689221,0.0,26.04
1481552559524171761,25.92,26.04
1481552559524329746,25.92,30.9
1481552559525895318,0.0,30.9
1481552559527046257,0.0,26.13
1481552559528104237,25.9,26.13
1481552560187267251,25.9,30.9
1481552560189384793,25.9,26.01
1481552579330070113,25.96,26.01
1481552621825395229,25.96,30.9
1481552621827520134,25.96,26.04
1481552627963830793,25.97,26.04
1481552631405198017,25.97,30.9
1481552631407291863,25.97,26.01
1481552635195201515,25.96,26.01
1481552686102768985,25.96,25.99
1481552686102850764,25.96,26.01
1481552727513212233,25.97,26.01
1481552727533319149,25.96,26.01
1481552742349049005,25.96,25.99
1481552742349408763,25.96,26.01
1481552782297836474,25.96,30.9
1481552782299978043,25.96,26.04
1481552784656459662,25.96,30.9
1481552784658547496,25.96,26.01
1481552813344282684,25.96,30.9
1481552813346392754,25.96,26.04
1481552816220447738,25.96,30.9
1481552816222534876,25.96,26.01
1481552820959203710,25.96,30.9
1481552820959681348,25.98,30.9
1481552820959859635,25.96,30.9
1481552820961117183,25.96,26.04
1481552820967336793,25.96,30.9
1481552820969444891,25.96,26.04
1481552825347743790,25.96,30.9
1481552825350376387,25.96,26.01
1481552840974272290,25.96,30.9
1481552840976368403,25.96,26.04
1481552841792975181,25.96,30.9
1481552841795062823,25.96,26.04
1481552848514302375,25.96,30.9
