Rebalance(time=1481547643860331179, exchange='IEX', name='VXX', holding=0, fairvalue=15.45, Profit=0)
Rebalance(time=1481547643906618499, exchange='IEX', name='VXX', holding=0, fairvalue=15.45, Profit=0)
Rebalance(time=1481548881158688834, exchange='IEX', name='VXX', holding=0, fairvalue=12.925, Profit=0)
Rebalance(time=1481548881158797968, exchange='IEX', name='VXX', holding=0, fairvalue=15.45, Profit=0)
Rebalance(time=1481549368211592139, exchange='IEX', name='VXX', holding=0, fairvalue=12.93, Profit=0)
Rebalance(time=1481549368231378853, exchange='IEX', name='VXX', holding=0, fairvalue=15.45, Profit=0)
Rebalance(time=1481549523172383035, exchange='IEX', name='VXX', holding=0, fairvalue=28.369999999999997, Profit=0.0)
Rebalance(time=1481549523172464033, exchange='IEX', name='VXX', holding=0, fairvalue=28.369999999999997, Profit=0.0)
Rebalance(time=1481550000693189764, exchange='IEX', name='VXX', holding=0, fairvalue=25.855, Profit=0.0)
Rebalance(time=1481550000713010231, exchange='IEX', name='VXX', holding=0, fairvalue=28.369999999999997, Profit=0.0)
Rebalance(time=1481550032822896887, exchange='IEX', name='VXX', holding=0, fairvalue=28.375, Profit=0.0)
Rebalance(time=1481550032843139699, exchange='IEX', name='VXX', holding=0, fairvalue=28.375, Profit=0.0)
Rebalance(time=1481550415134226749, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550415141453706, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550553045571563, exchange='IEX', name='VXX', holding=0, fairvalue=25.869999999999997, Profit=0.0)
Rebalance(time=1481550589282980942, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550602155471953, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550602163228625, exchange='IEX', name='VXX', holding=0, fairvalue=28.39, Profit=0.0)
Rebalance(time=1481550602163789009, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550602166991138, exchange='IEX', name='VXX', holding=0, fairvalue=28.395, Profit=0.0)
Rebalance(time=1481550608418315111, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550691774172665, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481550691794062762, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550745966130340, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481550760155359173, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550760158168584, exchange='IEX', name='VXX', holding=0, fairvalue=25.905, Profit=0.0)
Rebalance(time=1481550762017185479, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550762019817376, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481550768541017586, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550768544461146, exchange='IEX', name='VXX', holding=0, fairvalue=25.95, Profit=0.0)
Rebalance(time=1481550768648784583, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550768651445857, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481550768972410917, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550768974619454, exchange='IEX', name='VXX', holding=0, fairvalue=25.905, Profit=0.0)
Rebalance(time=1481550768975334147, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550768978619778, exchange='IEX', name='VXX', holding=0, fairvalue=25.95, Profit=0.0)
Rebalance(time=1481550768982554104, exchange='IEX', name='VXX', holding=0, fairvalue=25.975, Profit=0.0)
Rebalance(time=1481550768982829028, exchange='IEX', name='VXX', holding=0, fairvalue=25.975, Profit=0.0)
Rebalance(time=1481550768983045928, exchange='IEX', name='VXX', holding=0, fairvalue=25.98, Profit=0.0)
Rebalance(time=1481550768986157018, exchange='IEX', name='VXX', holding=0, fairvalue=25.975, Profit=0.0)
Rebalance(time=1481550768986206746, exchange='IEX', name='VXX', holding=0, fairvalue=25.975, Profit=0.0)
Rebalance(time=1481550768986387516, exchange='IEX', name='VXX', holding=0, fairvalue=25.95, Profit=0.0)
Rebalance(time=1481550768987718846, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481550769227781919, exchange='IEX', name='VXX', holding=0, fairvalue=25.95, Profit=0.0)
Rebalance(time=1481550769765373398, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550769768271377, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481550769769529025, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481550779129316923, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481550783638826334, exchange='IEX', name='VXX', holding=0, fairvalue=25.905, Profit=0.0)
Rebalance(time=1481550865996598519, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550866001460377, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481550866004434314, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550866007349299, exchange='IEX', name='VXX', holding=0, fairvalue=25.905, Profit=0.0)
Rebalance(time=1481550869019920471, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550869022453882, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481550884988916662, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550954784969907, exchange='IEX', name='VXX', holding=0, fairvalue=28.39, Profit=0.0)
Rebalance(time=1481550954785415495, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481550969127138851, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
